storehouse,华中科技大学同济医学院附属协和医院（西院）,华中科技大学同济医学院附属同济医院（中法新城院区）,新洲区人民医院,武汉市东西湖区人民医院,武汉市中医医院（汉阳院区）,武汉市新洲区中医医院,武汉市武昌医院,武汉市汉南区中医医院,武汉市汉南区人民医院,武汉市汉口医院,武汉市汉阳医院,武汉市江夏区中医医院,武汉市江夏区第一人民医院,武汉市第一医院,武汉市第七医院,武汉市第三医院（光谷院区）,武汉市第九医院,武汉市第五医院,武汉市第八医院,武汉市第六医院,武汉市第四医院(西院区),武汉市红十字会医院,武汉市肺科医院,武汉市蔡甸区中医医院,武汉市蔡甸区人民医院,武汉市金银潭医院,武汉市黄陂区中医医院,武汉市黄陂区人民医院,武汉科技大学附属天佑医院,武汉紫荆医院,民生耳鼻喉专科医院,湖北六七二中西医结合骨科医院,湖北省中西医结合医院,湖北省人民医院(东院),解放军中部战区总医院,青山区石化医院,黄陂区人民医院盘龙院区,黄陂区鲁台社区卫生服务中心
武汉市红十字会,20743,23971,65807,22898,15047,65856,8933,47522,45191,6052,10786,39295,35954,6859,14972,25292,13727,9941,1979,2842,12414,4901,7233,32442,31383,14505,38051,37997,16768,10127,5492,18856,5088,33202,18013,20429,19967,40009
武汉国际博览中心,10376,19437,81261,27493,4786,81311,23291,37155,34824,20082,7347,27829,24487,9716,14082,21074,28085,6849,17296,16174,15954,16512,11741,27907,26849,25163,51971,51917,13153,17769,18223,17909,16534,28461,15358,38187,30009,53928
慈善总会联合仓库,47548,54008,84635,34150,41851,84684,37605,86836,84505,31169,37590,67967,64626,36477,43644,54797,40724,39559,33953,34995,34838,29989,34275,59476,59310,28222,23256,23202,45890,38799,29947,47528,30430,66688,46685,44946,16503,25214
武汉市江岸区应急管理局,23907,24196,66736,21627,18948,66786,10440,51424,49092,3460,14687,40802,37461,11846,16479,27632,13559,14928,6787,5345,12553,5275,11372,35237,35072,5762,30994,30940,18725,11634,2188,20363,5715,35543,19520,23023,11218,32952
武汉市汉阳区应急管理局,12611,12670,78104,21858,6914,78154,18339,39390,37058,15371,2988,34585,31243,7405,14455,21448,24927,7519,12345,11222,7849,11561,6789,21140,20082,20211,46352,46298,13527,18143,13658,18283,11582,30458,15731,38824,25057,48310
武汉市新洲区应急管理局,84641,84931,746,80964,79683,1532,64753,130770,128438,62297,75422,95636,93563,69631,70329,73840,65399,72714,63700,65615,73287,66009,70006,93941,93776,64353,85688,85702,72575,68700,63489,73090,66450,79964,72247,61456,69815,84650
武汉市蔡甸区应急管理局,22104,8886,97025,19004,22210,97075,40740,47114,44783,34293,22420,57539,44906,26834,33884,40877,43848,26948,31773,30651,21120,32036,26218,1044,2965,34208,62034,61980,32956,37571,29032,37711,32476,48880,35160,52822,39055,63991
黄陂区应急管理局,53558,54828,70863,40618,48599,70913,40091,93305,90973,33654,44338,70453,67111,41497,46130,57283,43210,44579,36438,37480,42305,36765,41023,60295,60130,30708,1746,1388,48376,41285,32432,50013,37205,69173,49170,47431,29444,3383
武汉市江夏区应急管理局,37259,39798,111069,58619,28062,111119,34327,39407,37076,38537,31207,1137,4464,35434,27663,22692,37280,30456,37486,39251,38377,39590,34818,55340,52860,48240,100022,99968,24893,33136,38897,24581,39611,19209,24704,45790,53086,101979
洪山区应急管理局,21835,30356,78345,38413,16131,78395,16442,48614,46282,20652,17233,19549,16207,16405,9778,9856,19396,13635,19601,21539,25057,25616,20844,38827,37768,29105,52651,52597,7008,13704,21012,6696,20747,20420,6819,26692,34567,54608
武汉市青山区应急管理局,33888,34178,67266,31608,28930,67316,6852,61405,59074,11544,24669,37102,33760,18878,13902,22179,2507,21961,13820,14862,22534,15257,19253,45219,45054,23344,44307,44254,16148,10210,12737,16662,15697,27263,15819,6249,28806,36487
武汉市江汉区应急管理局,19844,23071,68911,18690,14147,68960,10905,46622,44291,6178,9886,41818,38476,5315,14467,29807,15734,8398,4312,2640,10263,1382,4542,31667,31502,10920,37729,37675,15225,12099,3421,18329,432,37718,16544,29534,15767,39686
武汉市东西湖区应急管理局,23543,19406,83472,1753,22016,83522,27187,53136,50805,20740,22673,48054,44712,21560,30712,41555,30295,24643,23534,20775,12701,18483,19358,20047,19881,20655,39482,39428,33634,28381,18995,38390,18923,48686,32789,39268,25502,41440
武汉市武昌区应急管理局,23217,25607,75511,31288,17513,75561,7973,49996,47664,12241,11630,31269,27928,9870,3560,12343,11889,8789,11190,14294,20787,15145,12066,34077,33019,20694,44240,44186,4503,4559,12601,7620,14212,24176,5835,23858,26156,46197
武汉市硚口区应急管理局,14110,14399,74601,15094,11739,74651,16751,43856,41524,11869,7081,38773,35432,6859,15102,26867,21424,8969,10756,9633,2185,9575,5129,22870,21811,16557,42850,42796,18946,17945,10155,23702,10015,35877,17179,34879,21403,44807
武汉市经济技术开发区(汉南区)应急管理局,2754,14678,83367,22734,9572,83417,27082,32725,30393,20635,11776,32196,28854,15539,23656,29271,30190,15046,20478,19356,13113,18341,14099,23148,22090,25322,51616,51562,22728,27343,18921,27079,18781,32828,27202,43645,30169,53573
