storehouse,华中科技大学同济医学院附属协和医院（西院）,华中科技大学同济医学院附属同济医院（中法新城院区）,新洲区人民医院,武汉市东西湖区人民医院,武汉市中医医院（汉阳院区）,武汉市新洲区中医医院,武汉市武昌医院,武汉市汉南区中医医院,武汉市汉南区人民医院,武汉市汉口医院,武汉市汉阳医院,武汉市江夏区中医医院,武汉市江夏区第一人民医院,武汉市第一医院,武汉市第七医院,武汉市第三医院（光谷院区）,武汉市第九医院,武汉市第五医院,武汉市第八医院,武汉市第六医院,武汉市第四医院(西院区),武汉市红十字会医院,武汉市肺科医院,武汉市蔡甸区中医医院,武汉市蔡甸区人民医院,武汉市金银潭医院,武汉市黄陂区中医医院,武汉市黄陂区人民医院,武汉科技大学附属天佑医院,武汉紫荆医院,民生耳鼻喉专科医院,湖北六七二中西医结合骨科医院,湖北省中西医结合医院,湖北省人民医院(东院),解放军中部战区总医院,青山区石化医院,黄陂区人民医院盘龙院区,黄陂区鲁台社区卫生服务中心
武汉市红十字会,1881,2196,5153,2468,1392,5089,1174,3889,3611,968,1240,3994,3198,952,1567,2309,1515,1324,476,519,1556,984,858,3121,2853,1507,3089,3043,1772,1317,1085,1891,939,3037,1937,2474,2130,3241
武汉国际博览中心,1015,1764,6016,2208,564,6097,1980,2931,2605,1554,829,2906,2060,1128,1272,1765,2316,851,1398,1344,1450,1379,1124,2584,2398,1843,3451,3459,1218,1873,1615,1565,1400,2434,1654,2844,2388,3696
慈善总会联合仓库,3454,3682,5680,3234,2865,5508,2982,4738,4616,2322,2702,5869,5367,2688,3529,4045,3068,3101,2728,2625,3149,2166,2535,4520,4425,2200,2037,2085,3868,3088,2803,3895,2165,4692,3738,3363,1670,2245
武汉市江岸区应急管理局,2070,2327,5100,1938,1474,5034,1137,3929,3714,543,1328,4029,3311,1161,1512,2280,1275,1535,850,953,1380,862,1118,3383,3308,956,2534,2430,1872,1309,369,1816,905,2934,2013,2014,1524,2696
武汉市汉阳区应急管理局,1069,1393,5790,1941,588,5669,1590,3030,2762,1244,513,3288,2480,803,1182,1707,1938,822,1043,948,1062,1020,774,2344,2085,1508,3317,3260,1123,1802,1254,1561,1018,2450,1468,2775,1970,3457
武汉市新洲区应急管理局,5781,6298,141,5930,5281,276,4313,7388,7291,4250,5084,8088,7566,4858,5601,6066,4497,5075,4590,4395,5203,4739,4826,7127,6797,4438,6267,5880,5721,5123,4413,5626,4765,6334,5854,4636,5202,5830
武汉市蔡甸区应急管理局,2384,1055,7652,2643,2319,7654,3885,3727,3506,3200,2600,4879,3821,2641,3083,3650,3927,2676,3004,2839,2449,2933,2734,225,406,3172,4908,4925,3025,3819,3483,3385,2980,4360,3455,4509,3946,5085
黄陂区应急管理局,4063,4092,5138,3288,3563,5233,3066,4830,4676,2326,3257,6011,5546,3200,3864,3886,3310,3812,2931,2752,3266,2702,2967,4885,4849,2376,411,263,4055,3354,2712,4190,2766,4820,4546,3522,2808,557
武汉市江夏区应急管理局,3017,3696,7336,4578,2688,6882,3278,3058,2933,3607,2857,274,721,3275,2982,3657,3420,2856,3513,3491,3606,3530,3328,4106,3751,3855,5392,5287,2845,3613,3576,2588,3492,2591,2766,4747,4581,5457
洪山区应急管理局,1531,2107,6186,2643,1027,5942,1421,3384,3098,1755,1141,2316,1524,1426,1090,1382,1584,1259,1702,1665,1825,1806,1558,3043,2863,2147,3833,3624,984,1596,1689,748,1940,1874,943,2162,2796,4027
武汉市青山区应急管理局,2658,3056,5549,2605,2155,5282,947,4542,4352,1284,2023,4073,3389,1824,1931,2242,485,2221,1488,1438,2119,1554,1712,3890,3806,1853,3363,3234,2225,1849,1404,1979,1581,2342,2047,911,2534,3107
武汉市江汉区应急管理局,1798,2099,5225,1883,1298,5097,1592,3785,3491,778,1119,4009,3275,936,1600,2565,1472,1197,901,588,1298,276,976,3230,3068,994,2844,2744,1687,1684,546,1862,78,3124,2129,2348,1495,3062
武汉市东西湖区应急管理局,2029,1900,6307,319,1909,6079,2285,3978,3648,1668,1850,4139,3412,1751,2487,3292,2459,2112,2036,1979,1344,1546,1658,2342,2240,1694,2656,2594,2558,2449,1666,3047,1534,3837,2951,2878,2217,2920
武汉市武昌区应急管理局,1784,2079,6207,2585,1347,6079,1250,3774,3389,1673,1019,3260,2417,957,560,1732,1714,1059,1574,1223,1804,1338,1013,2966,2708,2083,3631,3639,659,813,1549,890,1410,2380,966,2354,2825,3775
武汉市硚口区应急管理局,1386,1854,5737,1668,1103,5695,1788,3486,3240,1174,929,3676,2859,892,1658,2290,1893,1373,1222,1086,327,1065,933,2803,2537,1561,3266,3266,1624,1866,1324,2146,1130,3055,1858,2908,2126,3454
武汉市经济技术开发区(汉南区)应急管理局,465,1437,5807,1914,743,5986,2036,2861,2485,1419,887,3105,2281,1288,1667,2124,2102,1287,1545,1407,1200,1311,1315,2365,2092,1825,3286,3386,1633,2343,1412,1847,1331,2700,1957,3075,2389,3697
