storehouse,华中科技大学同济医学院附属协和医院,华中科技大学同济医学院附属同济医院,华中科技大学同济医学院附属同济医院（光谷院区）,华中科技大学同济医院附属梨园医院,华润武钢总医院,武汉亚心总医院,武汉亚洲心脏病医院,武汉大学人民医院,武汉大学人民医院（东院）,武汉太康医院,武汉市中医医院,武汉市中南医院,武汉市中心医院,武汉市中心医院（后湖院区）,武汉市儿童医院,武汉市普仁医院,武汉市武东医院,武汉市石化医院,武汉市第三医院,武汉市第四医院,武汉济和医院,武汉龙阳医院,武警湖北省总队医院,江夏区纸坊街社区卫生服务中心,湖北省中医院,湖北省中医院（光谷院区）,湖北省妇幼保健院,湖北省第三人民医院,湖北省第三人民医院阳逻院区,湖北省荣军医院,解放军中部战区总医院（汉口院区）,长江航运总医院
武汉市红十字会,5052,6184,29546,3337,16121,3366,3366,14317,33202,19967,1615,14343,3337,6736,3215,14448,22445,20429,13086,7320,31969,13728,14235,37761,13958,23093,16923,8659,34856,22124,3982,3270
武汉国际博览中心,13803,12947,26067,16043,31147,13850,13850,10574,28461,24562,16597,18997,16043,18122,16339,28806,34262,38187,11585,9285,27435,8755,14310,26295,14799,20989,17521,10143,50310,17106,18340,17164
慈善总会联合仓库,33049,34982,62699,36937,44547,36462,36462,43935,66688,40636,36146,43016,36937,27917,31779,41445,53102,44946,42704,36771,59194,43681,42907,66433,42630,55551,45595,36363,56499,50796,32293,32841
武汉市江岸区应急管理局,10039,11172,31887,9771,15954,9296,9296,19304,35543,18696,8981,15850,9771,3227,5026,14280,24878,23023,18074,13868,34956,16515,15742,39268,15465,28386,18430,13460,35785,23631,5128,4194
武汉市汉阳区应急管理局,8851,7995,26441,11091,27322,8899,8899,10948,30458,18927,11646,19370,11091,13414,11388,25648,34659,38824,10250,7006,20668,1469,14684,33051,15173,21363,17918,5191,47153,17480,13389,12212
武汉市新洲区应急管理局,67824,68957,74934,67557,61058,67082,67082,74685,79964,78033,66766,68578,67557,66201,66232,62719,65085,61456,73723,70092,93659,77249,71655,94384,72822,74144,71157,74194,34009,76359,62827,65910
武汉市蔡甸区应急管理局,28280,27424,45870,30520,46243,28327,28327,30377,48880,18896,31074,38799,30520,29964,30816,44569,55168,52822,29678,26434,1488,20728,34112,46713,34602,40792,37347,24620,66074,36908,35428,34066
黄陂区应急管理局,39825,40822,65184,39422,47033,38947,38947,48955,69173,47104,38631,45501,39422,34693,35990,43931,55588,47431,47724,43519,60014,46166,45392,68919,45116,58037,48080,43111,42728,53282,34779,35326
武汉市江夏区应急管理局,36880,36024,26660,39120,43442,36928,36928,28614,19209,44924,39675,27640,39120,43942,39417,38002,37898,45790,29428,35035,54771,33206,29677,1876,30166,22430,23911,33221,75790,23776,36946,40241
洪山区应急管理局,18422,17566,14849,20698,19652,18506,18506,9975,20420,35482,21253,9755,20698,24053,22156,20117,22767,26692,10795,15974,38354,17859,11044,18014,11533,9770,6026,19246,43066,5891,19061,21834
武汉市青山区应急管理局,17072,18204,23274,16804,1257,16329,16329,18257,27263,28677,16013,12150,16804,15448,15479,2128,11560,6249,17295,19340,44937,26497,15228,35568,14041,22483,14729,23442,31986,19931,12075,15157
武汉市江汉区应急管理局,3001,4622,33917,4987,18128,3592,3592,12774,37718,15759,5542,16315,4987,3194,2137,16455,27053,29534,11543,5777,31386,14226,14724,40284,13934,28839,16505,8658,37960,24956,7313,1947
武汉市东西湖区应急管理局,21542,20065,46548,24203,32690,22011,22011,31055,48686,3161,24758,32597,24203,16411,20272,31016,41615,39268,27788,21854,19765,21406,30969,46519,30179,41470,35176,21446,52521,37587,21875,20513
武汉市武昌区应急管理局,11887,11031,20159,14163,14284,11971,11971,4486,24176,28357,14718,5841,14163,15642,14460,12610,19933,23858,3550,9439,33605,15364,2047,29735,1770,11847,5796,11177,40231,11198,10650,13423
武汉市硚口区应急管理局,7262,6407,31860,9503,23819,7310,7310,16367,35877,12163,10057,22161,9503,9912,9799,22145,32744,34879,12178,6213,22397,6718,15359,37239,14569,26782,23337,4613,43650,22899,13004,10624
武汉市经济技术开发区(汉南区)应急管理局,16985,16129,35122,19225,32585,17032,17032,18771,32828,19803,19779,28571,19225,18678,19521,30911,46360,43645,18383,15139,22676,7941,23884,30662,24374,29186,26409,13325,52416,25303,21770,20106
