storehouse,华中科技大学同济医学院附属协和医院,华中科技大学同济医学院附属同济医院,华中科技大学同济医学院附属同济医院（光谷院区）,华中科技大学同济医院附属梨园医院,华润武钢总医院,武汉亚心总医院,武汉亚洲心脏病医院,武汉大学人民医院,武汉大学人民医院（东院）,武汉太康医院,武汉市中医医院,武汉市中南医院,武汉市中心医院,武汉市中心医院（后湖院区）,武汉市儿童医院,武汉市普仁医院,武汉市武东医院,武汉市石化医院,武汉市第三医院,武汉市第四医院,武汉济和医院,武汉龙阳医院,武警湖北省总队医院,江夏区纸坊街社区卫生服务中心,湖北省中医院,湖北省中医院（光谷院区）,湖北省妇幼保健院,湖北省第三人民医院,湖北省第三人民医院阳逻院区,湖北省荣军医院,解放军中部战区总医院（汉口院区）,长江航运总医院
武汉市红十字会,730,804,2157,734,1564,633,633,1542,2693,2129,345,1259,734,1296,618,1419,2159,2211,1240,967,2842,1436,1616,3087,1720,2066,1503,1001,2500,1875,582,681
武汉国际博览中心,1355,1118,1763,1613,2556,1076,1076,1149,2353,1659,1608,1835,1613,1622,1377,2331,2687,2813,1232,1090,2359,811,1176,2215,1322,1559,1324,827,3425,1309,1431,1586
慈善总会联合仓库,2630,2482,4031,3039,3243,2545,2545,3150,4584,2563,2942,3030,3039,2099,2653,2976,4030,3191,2945,2596,4300,2984,3396,4965,3543,3899,3177,2547,3292,3724,2250,2492
武汉市江岸区应急管理局,1014,1127,2168,1317,1449,918,918,1783,2846,1439,1289,1350,1317,550,963,1308,2086,1934,1556,1224,3135,1336,1693,3228,1774,2184,1554,1158,2300,1955,616,708
武汉市汉阳区应急管理局,887,733,1727,1163,2092,710,710,996,2357,1434,1219,1757,1163,1168,993,1947,2590,2776,942,734,2025,253,1123,2616,1249,1523,1278,451,2977,1265,1122,1238
武汉市新洲区应急管理局,4741,4857,5708,5142,5127,4830,4830,7240,6141,5199,5411,5383,5142,4818,4651,5129,5603,4762,6960,4903,7057,5284,6758,7629,6580,6159,5639,5186,3010,6373,4454,4799
武汉市蔡甸区应急管理局,2927,2701,3633,3174,4110,2658,2658,2936,4426,2499,3107,3823,3174,2932,2945,4012,4779,4509,2817,2647,258,2179,3003,4093,3206,3482,3186,2304,4819,3289,3324,3342
黄陂区应急管理局,2989,2883,4160,2974,3329,2744,2744,3682,4725,2724,3029,3128,2974,2513,2847,3089,4060,3376,3291,3100,4621,3235,3588,5221,3678,3888,3389,2977,2846,3896,2442,2855
武汉市江夏区应急管理局,3538,3290,3214,3849,4056,3241,3241,3119,2484,3631,3778,3316,3849,3822,3577,3586,3939,4206,3045,3294,3809,3028,3130,345,3233,3206,2530,2927,4410,2955,3587,3857
洪山区应急管理局,1664,1425,1444,1906,1820,1423,1423,981,1872,2292,1939,1189,1906,1940,1632,1629,1984,2089,1123,1314,2953,1289,1025,1695,1150,1242,585,1252,3303,788,1563,1775
武汉市青山区应急管理局,1655,1765,1865,1922,218,1560,1560,2115,2239,2163,1929,1373,1922,1555,1528,341,1473,865,2044,1854,3833,2124,1959,3338,2115,2133,1581,1940,2865,2049,1314,1609
武汉市江汉区应急管理局,501,848,2453,981,1689,642,642,1497,2944,1403,1045,1648,981,611,460,1545,2350,2270,1318,997,3025,1290,1641,3330,1675,2374,1912,1026,2551,2089,876,499
武汉市东西湖区应急管理局,1807,1619,3058,2011,2466,1615,1615,2301,3653,487,2101,2373,2011,1306,1828,2334,3105,2764,2109,1707,2496,1663,2431,3457,2416,2866,2520,1709,3346,2604,1665,1781
武汉市武昌区应急管理局,1170,985,1605,1474,1964,946,946,615,2314,2104,1385,944,1474,1771,1255,1808,2174,2302,516,827,2717,1317,326,2394,368,1393,768,969,3580,1094,1407,1668
武汉市硚口区应急管理局,1008,835,2254,1287,1986,768,768,1439,2863,1241,1264,1835,1287,1103,1026,1879,2634,2791,1154,668,2535,724,1465,2988,1532,2041,1760,488,2997,1727,1212,1287
武汉市经济技术开发区(汉南区)应急管理局,1474,1251,2370,1693,2404,1221,1221,1463,2691,1435,1777,2342,1693,1395,1522,2262,3262,3137,1448,1271,2148,806,1686,2501,1790,2031,1759,960,3251,1755,1569,1644
