storehouse,方舱医院(中国光谷日海),方舱医院(中国光谷科技会展中心),方舱医院(塔子湖全民健身中心),方舱医院(大花山户外运动中心),方舱医院(新洲区),方舱医院(武汉体育中心),方舱医院(武汉体育馆),方舱医院(武汉国际会展中心),方舱医院(武汉国际博览中心),方舱医院(武汉市体育运动学校体育馆),方舱医院(武汉经济开发区沌口),方舱医院(武钢体育馆),方舱医院(江汉经济开发区),方舱医院(洪山体育馆),方舱医院(湖北省委党校新校区),方舱医院(白马驿站),方舱医院(石牌岭高级职业中学),方舱医院(蔡甸区知音谷),方舱医院(黄陂一中体育馆),长江新城方舱医院
武汉市红十字会,37959,35686,8847,39255,65183,21152,6892,4359,17967,11991,24686,15380,14631,14397,20404,17018,18483,32623,39486,13139
武汉国际博览中心,33217,33864,21859,27789,80638,10481,11519,13040,106,11486,14318,28191,18666,14420,30445,28835,14336,24743,53406,28593
慈善总会联合仓库,67465,64319,28107,67927,84011,49238,34596,33878,44771,38795,57519,42378,28978,43069,20552,47675,47155,72141,24691,37973
武汉市江岸区应急管理局,40299,38120,1780,40762,66112,22072,11694,11176,21869,14967,30353,15213,10099,15904,11654,19451,19989,33543,32429,14068
武汉市汉阳区应急管理局,35214,31246,17148,34545,77480,9851,6567,8088,9834,2296,18132,26581,13715,14793,25494,29232,14710,21322,47787,25436
武汉市新洲区应急管理局,82471,71033,65856,91864,427,82807,69665,68961,82603,75701,91088,64062,70332,69754,70252,59659,72717,94277,95473,54662
武汉市蔡甸区应急管理局,53636,54283,32087,48207,96401,21902,25996,27517,28488,21797,26792,45502,25732,34222,39491,49741,34138,13879,63468,45849
黄陂区应急管理局,69950,66805,30593,70413,70240,51723,41344,40827,51520,44617,60004,44863,36686,45554,32021,50161,49640,78610,4003,38180
武汉市江夏区应急管理局,15539,29769,41332,5260,110445,38404,34596,36117,26024,34563,35609,34581,47156,26899,53523,35225,23235,43592,101456,43789
洪山区应急管理局,25176,19654,23447,19508,77721,22375,20622,17659,13157,20589,25777,16696,27769,9014,35003,17340,3880,33846,54086,25904
武汉市青山区应急管理局,35238,24894,15103,41472,66642,32054,18912,18208,31850,24948,40335,3294,20080,13326,29242,6688,16289,43525,45742,13584
武汉市江汉区应急管理局,42474,40295,6019,41778,68287,19783,5356,3830,17067,11091,23786,17387,7103,14805,16203,21626,16047,31254,39163,16243
武汉市东西湖区应急管理局,53442,54088,18534,48013,82848,21708,19680,21201,28294,19858,29989,31949,12179,32650,25938,36188,34817,24292,40917,32296
武汉市武昌区应急管理局,28933,24965,15035,31229,74887,23757,10714,11124,14959,12516,27159,13862,19700,2894,26592,14506,5338,35228,45675,19505
武汉市硚口区应急管理局,40633,36665,13646,38733,73978,12275,4979,6500,14380,5170,20556,23078,9191,15440,21839,27317,20128,23746,44285,21933
武汉市经济技术开发区(汉南区)应急管理局,37584,38231,22412,32156,82743,1055,14701,16222,12213,10449,9442,31844,22036,23994,30605,36083,22533,12161,53051,30699
