storehouse,华中科技大学同济医学院附属协和医院,华中科技大学同济医学院附属同济医院,华中科技大学同济医学院附属同济医院（光谷院区）,华中科技大学同济医院附属梨园医院,华润武钢总医院,武汉亚心总医院,武汉亚洲心脏病医院,武汉大学人民医院,武汉大学人民医院（东院）,武汉太康医院,武汉市中医医院,武汉市中南医院,武汉市中心医院,武汉市中心医院（后湖院区）,武汉市儿童医院,武汉市普仁医院,武汉市武东医院,武汉市石化医院,武汉市第三医院,武汉市第四医院,武汉济和医院,武汉龙阳医院,武警湖北省总队医院,江夏区纸坊街社区卫生服务中心,湖北省中医院,湖北省中医院（光谷院区）,湖北省妇幼保健院,湖北省第三人民医院,湖北省第三人民医院阳逻院区,湖北省荣军医院,解放军中部战区总医院（汉口院区）,长江航运总医院
武汉市红十字会,805,963,2429,696,1809,783,783,1547,3037,2102,352,1498,696,1295,717,1637,2322,2455,1335,1031,3088,1553,1932,3540,1885,2375,1613,1134,2549,2141,678,639
武汉国际博览中心,1372,1146,1766,1566,2582,1076,1076,1214,2434,1790,1619,2066,1566,1580,1353,2368,2736,2844,1250,1029,2528,822,1327,2413,1537,1649,1359,805,3395,1436,1459,1553
慈善总会联合仓库,2810,2741,4174,3304,3429,2770,2770,3292,4688,2624,3435,3291,3304,2200,2657,3193,4115,3363,3053,2667,4453,3303,3693,5511,3713,4419,3446,2609,3254,4135,2425,2888
武汉市江岸区应急管理局,1080,1167,2188,1505,1577,924,924,1752,2934,1504,1292,1463,1505,590,1022,1426,2196,2014,1555,1269,3366,1455,1832,3649,1816,2349,1570,1200,2406,2136,651,793
武汉市汉阳区应急管理局,885,765,1689,1280,2253,707,707,1075,2450,1576,1282,1936,1280,1228,960,2033,2597,2775,910,699,2232,270,1215,2882,1412,1560,1282,446,3077,1344,1113,1197
武汉市新洲区应急管理局,4624,4786,5732,5113,4659,4773,4773,6222,6334,5126,5006,5251,5113,4739,4582,4865,5378,4636,5948,4855,7053,5121,6074,7732,6227,6096,5414,5097,2830,5957,4266,4832
武汉市蔡甸区应急管理局,2852,2595,3473,3175,4201,2569,2569,2971,4360,2585,3085,3926,3175,3085,2842,4050,4898,4509,2766,2541,262,2168,3205,4284,3302,3465,3078,2247,4844,3302,3355,3435
黄陂区应急管理局,3218,3129,4315,3301,3607,2977,2977,3872,4820,2810,3212,3437,3301,2645,2928,3307,4270,3522,3661,3229,5005,3493,3836,5485,3923,4406,3617,3299,2758,4445,2827,2741
武汉市江夏区应急管理局,3447,3194,3625,3773,4606,3161,3161,2959,2591,3609,3783,3013,3773,3778,3496,3535,4299,4747,2928,3162,3902,3004,3001,362,3141,3648,2461,2850,4399,2795,3420,3729
洪山区应急管理局,1635,1468,1463,2092,1826,1469,1469,1098,1874,2170,2147,1069,2092,2003,1670,1749,2029,2155,1096,1356,3055,1261,1170,1859,1359,1345,620,1174,3280,854,1581,1820
武汉市青山区应急管理局,1714,1755,1869,2090,220,1517,1517,2646,2342,2175,1865,1626,2090,1551,1498,366,1561,911,2307,1894,3875,2168,2307,3714,2467,2286,1731,1921,2850,2315,1352,1605
武汉市江汉区应急管理局,541,890,2418,1138,1775,712,712,1510,3124,1493,1127,1882,1138,613,528,1633,2402,2364,1310,1062,3185,1368,1632,3638,1864,2425,1853,1060,2602,2204,862,533
武汉市东西湖区应急管理局,2001,1768,3208,2232,2705,1723,1723,2552,3837,496,2277,2629,2232,1468,1923,2558,3298,2878,2174,1779,2271,1796,2513,3764,2688,3186,2711,1780,3465,2854,1781,1884
武汉市武昌区应急管理局,1172,991,1637,1599,2181,991,991,611,2380,2114,1516,907,1599,1881,1229,1901,2173,2354,539,849,2909,1372,361,2743,324,1472,856,1015,3569,1183,1436,1671
武汉市硚口区应急管理局,1066,924,2226,1366,2228,845,845,1564,3055,1360,1401,2021,1366,1206,1135,2062,2741,2908,1273,859,2716,859,1604,3320,1690,2113,1814,640,2945,2009,1268,1358
武汉市经济技术开发区(汉南区)应急管理局,1426,1231,2290,1776,2364,1192,1192,1554,2700,1466,1818,2586,1776,1410,1397,2245,3165,3074,1363,1163,2279,706,1767,2649,1893,2086,1648,926,3178,1917,1532,1725
