storehouse,方舱医院(新洲区),方舱医院(白马驿站),长江新城方舱医院,方舱医院(洪山体育馆),方舱医院(石牌岭高级职业中学),方舱医院(江汉经济开发区),方舱医院(武汉体育馆),方舱医院(武汉体育中心),方舱医院(武钢体育馆),方舱医院(中国光谷日海),方舱医院(黄陂一中体育馆),方舱医院(塔子湖全民健身中心),方舱医院(蔡甸区知音谷),方舱医院(武汉国际博览中心),方舱医院(武汉国际会展中心),方舱医院(湖北省委党校新校区),方舱医院(武汉经济开发区沌口),方舱医院(中国光谷科技会展中心),方舱医院(大花山户外运动中心),方舱医院(武汉市体育运动学校体育馆),武汉市蔡甸区中医医院,武汉市蔡甸区人民医院,武汉市东西湖区人民医院,华中科技大学同济医学院附属同济医院（中法新城院区）,武汉市汉南区人民医院,武汉市汉南区中医医院,华中科技大学同济医学院附属协和医院（西院）,武汉市第四医院(西院区),黄陂区人民医院盘龙院区,武汉市中医医院（汉阳院区）,武汉市肺科医院,武汉市汉阳医院,武汉市金银潭医院,武汉市红十字会医院,湖北省中西医结合医院,民生耳鼻喉专科医院,武汉市第一医院,武汉市第五医院,武汉市第六医院,武汉市黄陂区人民医院,武汉市汉口医院,武汉市黄陂区中医医院,武汉市第八医院,黄陂区鲁台社区卫生服务中心,武汉紫荆医院,武汉市武昌医院,武汉科技大学附属天佑医院,武汉市第七医院,解放军中部战区总医院,武汉市第九医院,武汉市江夏区第一人民医院,武汉市江夏区中医医院,湖北六七二中西医结合骨科医院,青山区石化医院,武汉市第三医院（光谷院区）,湖北省人民医院(东院),武汉市新洲区中医医院,新洲区人民医院,武汉济和医院,武汉太康医院,武汉龙阳医院,武汉市中心医院（后湖院区）,湖北省第三人民医院,华中科技大学同济医学院附属同济医院,武汉市第四医院,华中科技大学同济医学院附属协和医院,长江航运总医院,武汉亚洲心脏病医院,武汉亚心总医院,武汉市儿童医院,华中科技大学同济医院附属梨园医院,武汉市中心医院,武汉市中医医院,解放军中部战区总医院（汉口院区）,武汉大学人民医院,武汉市第三医院,湖北省中医院,武警湖北省总队医院,武汉市中南医院,湖北省妇幼保健院,武汉市普仁医院,江夏区纸坊街社区卫生服务中心,华润武钢总医院,湖北省荣军医院,武汉市石化医院,湖北省中医院（光谷院区）,武汉市武东医院,武汉大学人民医院（东院）,华中科技大学同济医学院附属同济医院（光谷院区）,湖北省第三人民医院阳逻院区,武汉蔡甸火神山医院,武汉雷神山医院,武汉市红十字会,武汉国际博览中心,慈善总会联合仓库,武汉市江岸区应急管理局,武汉市汉阳区应急管理局,武汉市新洲区应急管理局,武汉市蔡甸区应急管理局,黄陂区应急管理局,武汉市江夏区应急管理局,洪山区应急管理局,武汉市青山区应急管理局,武汉市江汉区应急管理局,武汉市东西湖区应急管理局,武汉市武昌区应急管理局,武汉市硚口区应急管理局,武汉市经济技术开发区(汉南区)应急管理局
方舱医院(新洲区),0,62120,54991,72216,75179,71088,76707,86193,66524,84932,66085,65096,114646,86882,70361,74676,94508,62586,94010,79121,104891,102602,86930,89230,130931,133263,88061,76685,63189,83961,76385,79700,65109,71167,71607,66936,71031,74113,67014,56314,63697,56301,65099,55252,72222,66153,75037,72791,74709,63959,104630,102107,75552,62223,76301,82426,1960,1174,104418,78789,80670,69095,78473,70356,71492,69224,69884,68481,68481,67632,68956,68956,67371,69283,77147,76185,75284,74117,71039,73619,63485,102790,61824,78820,62223,76606,57088,82426,66682,37398,110297,89083,67767,86988,68334,66663,79864,427,104654,55433,101073,76953,63009,71856,85432,75128,76879,86002
方舱医院(白马驿站),61319,0,15424,15357,18320,27788,24353,39727,9665,29364,50300,22811,51233,33040,23649,31120,45361,18818,35598,32656,50238,47949,39316,41886,65866,68198,41419,31340,30984,35715,24694,30343,25184,22964,23405,20444,24319,24566,20303,48811,19252,48865,18366,37331,15363,14804,18179,15933,17850,8924,36257,38343,18693,9704,16305,21389,62819,61942,49765,36385,34204,23156,26120,23645,24781,22513,19250,21770,21770,19187,20567,20567,20794,19782,20288,19326,18426,17259,14181,16760,11264,37078,7356,22953,9704,16610,5779,21389,17985,26077,46892,35321,20396,33147,46176,21961,33398,61712,50001,48868,38700,20094,7913,23654,38390,18270,30413,39537
长江新城方舱医院,55508,15100,0,20522,23266,19019,17851,30958,15564,42088,34559,14042,42464,30789,17147,18012,39273,31541,48322,23887,41469,39180,30547,33116,58013,60344,32827,22571,15154,27868,18191,23607,12077,14195,14636,11675,17817,20900,13800,33071,10483,33125,11886,27130,16887,12940,23344,21098,22796,13585,40737,44123,23639,12371,27658,34113,57008,56132,40996,27616,25435,14387,22380,17143,18278,16010,14894,15267,15267,14418,15742,15742,14157,11013,25453,24045,21036,21312,19127,21706,13633,42545,11972,26908,12371,29333,20527,34113,30709,24169,38123,37170,14553,30895,30436,13192,24629,55902,41232,33128,44480,25040,13157,14884,29621,19871,21644,30768
方舱医院(洪山体育馆),73265,12299,20955,0,3839,19892,10906,23915,11826,26799,47427,16788,35421,15151,11316,30301,27351,22628,26195,12707,36153,33864,31480,25799,47856,50188,23409,20979,28112,17705,12258,11822,22446,12173,12054,14354,10062,8981,10102,45939,13993,45993,11189,47950,6858,9784,3713,1467,4337,13700,22894,26280,6121,21650,11569,22043,74765,73889,35680,28549,15556,13985,11369,11223,9631,11845,11093,11102,11102,10268,9594,9594,9822,12233,4678,3742,3406,2239,4149,3863,14422,24701,16004,9065,21650,10349,17726,22043,18612,38024,30805,19137,9423,15258,43304,15938,14323,73659,35915,45996,26637,7197,15335,11914,30554,2860,19575,23725
方舱医院(石牌岭高级职业中学),75306,14340,22903,4333,0,22914,12355,22624,15093,24736,51085,20446,34130,15031,12765,34138,26498,20565,24132,14156,36032,33743,34867,25679,47004,49335,22556,20858,34214,16414,13707,11702,26104,14599,15853,18012,11511,10570,12528,49596,17651,49650,13614,51608,9283,13442,3569,3447,1272,16395,20831,24217,3738,23691,9186,19980,76806,75930,35560,31936,15435,16411,14391,12672,11080,13528,13518,13611,13611,12694,12020,12020,12248,14658,6152,5190,5974,5485,7240,1917,17116,22638,18045,7002,23691,7965,19766,19980,16549,40065,30685,17264,11849,15138,46961,19596,14202,75700,35795,49653,24574,5134,18029,14339,33941,5061,19455,22434
方舱医院(江汉经济开发区),71964,25581,21689,18316,20550,0,7937,18563,21342,43736,38291,7927,30069,18112,9458,15036,26879,39565,42823,12136,30141,27852,14796,22306,45336,47668,20889,7227,15111,15192,7616,10931,10048,7876,8316,9558,9818,12900,10168,36803,10133,36856,12927,38814,17774,16580,19727,18969,21047,19688,39521,42907,22832,28661,29970,38979,73464,72588,29668,9850,13040,5804,9704,8323,10112,8360,9454,10268,10268,9666,12568,12568,12961,11268,17276,16045,18437,19227,21990,24569,20409,41329,22083,26001,28661,29884,31008,38979,35548,41914,27312,30539,13027,18219,29239,11060,12234,72358,29904,36860,53053,24392,21323,8565,13869,16852,7367,18373
方舱医院(武汉体育馆),70886,18970,17177,11750,12695,9335,0,15821,18322,36650,45550,11789,27328,12670,1621,20559,19389,32479,37381,6694,29028,26739,20922,18674,39894,42226,15447,7117,20634,9750,1936,5489,15831,5651,4719,7547,1961,5045,4757,44061,8994,44115,5880,46073,10620,11875,11872,11115,13192,16668,34079,37465,14977,23371,22884,31894,72386,71510,28555,17991,8431,7134,1966,1528,2423,2383,5748,2434,2434,4923,4734,4734,5126,6924,9421,8190,10582,11372,13073,13153,17389,35887,19063,18916,23371,22799,24397,31894,28463,38894,23681,25097,5193,12777,34762,10939,7198,71280,28791,44118,47611,17307,18303,6341,19996,10286,5510,15631
方舱医院(武汉体育中心),87319,36455,31071,24366,22904,22407,15073,0,32216,37956,53423,22784,13083,12585,16594,30423,7257,38400,32528,10821,25924,23635,23107,15050,29909,32241,1865,13485,30498,6122,14471,12149,25695,18713,19153,19293,15911,15418,19728,51934,21007,51988,20850,53946,25591,27454,23100,24028,27574,30562,29226,32612,27451,37265,29643,33200,88820,87943,25451,20176,8313,19050,13697,16501,15512,17357,20312,17405,17405,19894,19704,19704,20097,22142,19143,18756,24746,24257,28943,26781,31283,31034,32957,25675,37265,29558,46732,33200,36080,52788,13225,20244,20163,12692,44625,21934,8999,87713,25686,51991,42641,23935,32197,19402,22180,23832,12082,1387
方舱医院(武钢体育馆),67379,6221,14827,11335,14298,20396,19228,32335,0,31357,46058,15419,43841,29018,18524,28670,40651,25335,35071,25264,42846,40557,31924,34494,59390,61721,34204,23948,26743,31693,19569,24985,21077,15572,16013,13052,19194,20544,15178,44569,11860,44623,14136,39001,9318,7046,14157,11911,13828,2441,31769,35155,14671,8635,18690,27906,68879,68003,42373,28993,26812,15764,23757,18520,19656,17388,13183,16645,16645,13120,14159,14159,13854,12390,16266,15304,13149,13237,10159,12738,3049,33577,4181,17940,8635,19444,11648,27906,24502,31946,39500,28202,13455,29125,41934,14569,26006,67773,42609,44626,35512,16072,3420,16262,30998,11985,23021,32145
方舱医院(中国光谷日海),83622,31138,42603,27193,24428,44265,37117,39216,30995,0,71277,40638,65495,33308,35568,53889,41964,20658,11768,37084,70220,67931,55139,47082,58979,61310,38022,42209,51962,35346,37339,33052,46296,40791,41232,38271,34314,31921,35127,69788,37079,69842,37780,64510,32411,32631,24916,26928,23781,33537,13467,15552,21160,36882,16915,7278,85122,84246,69748,52208,40490,40983,35741,35474,33882,36330,38669,36414,36414,35293,34619,34619,34847,37609,27884,28704,29442,28952,27933,24205,34258,14288,34535,19442,36882,17394,28990,7278,18829,48381,66715,20802,34448,32741,67153,39788,35553,84015,69983,69845,15909,23100,35092,41481,54213,28528,40806,39026
