type,title,address,lat,lng
Fangcang,方舱医院(新洲区),湖北省武汉市新洲区邾城全民健身中心(永安大道东),30.837821,114.808144
Fangcang,方舱医院(白马驿站),湖北省武汉市洪山区欢乐大道,30.59863,114.42504
Fangcang,长江新城方舱医院,湖北省武汉市江岸区谌家矶特4号,30.681784,114.36632
Fangcang,方舱医院(洪山体育馆),湖北省武汉市武昌区体育馆路特1号,30.545917,114.334634
Fangcang,方舱医院(石牌岭高级职业中学),湖北省武汉市洪山区石牌岭路13号,30.524705,114.342449
Fangcang,方舱医院(江汉经济开发区),湖北省武汉市江汉区江兴路25号,30.621089,114.228881
Fangcang,方舱医院(武汉体育馆),湖北省武汉市硚口区解放大道612号,30.577,114.260066
Fangcang,方舱医院(武汉体育中心),湖北省武汉市蔡甸区车城北路与体育路交叉口北,30.500686,114.171899
Fangcang,方舱医院(武钢体育馆),湖北省武汉市洪山区仁和路111号,30.612412,114.388901
Fangcang,方舱医院(中国光谷日海),湖北省武汉市江夏区栗庙路6号,30.39347,114.426479
Fangcang,方舱医院(黄陂一中体育馆),湖北省武汉市黄陂区木兰大街,30.90544,114.360695
Fangcang,方舱医院(塔子湖全民健身中心),湖北省武汉市江岸区后湖大道99号塔子湖体育中心,30.641,114.284711
Fangcang,方舱医院(蔡甸区知音谷),湖北省武汉市蔡甸区 ,30.502381,114.059876
Fangcang,方舱医院(武汉国际博览中心),湖北省武汉市汉阳区鹦鹉大道619号,30.507009,114.242098
Fangcang,方舱医院(武汉国际会展中心),湖北省武汉市江汉区解放大道696号,30.580293,114.273331
Fangcang,方舱医院(湖北省委党校新校区),湖北省武汉市黄陂区 ,30.699498,114.235175
Fangcang,方舱医院(武汉经济开发区沌口),湖北省武汉市蔡甸区 ,30.452971,114.163264
Fangcang,方舱医院(中国光谷科技会展中心),湖北省武汉市洪山区高新大道787号,30.490452,114.509388
Fangcang,方舱医院(大花山户外运动中心),湖北省武汉市江夏区纸坊东站向北200米中建二局大花山户外运动中心A馆,30.357564,114.348006
Fangcang,方舱医院(武汉市体育运动学校体育馆),湖北省武汉市汉阳区 ,30.569881,114.219133
Core,武汉市蔡甸区中医医院,湖北省武汉市蔡甸区新福路516号,30.57702,114.02759
Core,武汉市蔡甸区人民医院,湖北省武汉市蔡甸区成功大道111号,30.561282,114.04347
Core,武汉市东西湖区人民医院,湖北省武汉市东西湖区临空港大道与三店大道交汇处西南侧,30.648869,114.132874
Core,华中科技大学同济医学院附属同济医院（中法新城院区）,湖北省武汉市蔡甸区健康大道东侧130米,30.548545,114.112783
Core,武汉市汉南区人民医院,湖北省武汉市汉南区沙帽镇兴城大道275号,30.314335,114.07301
Core,武汉市汉南区中医医院,湖北省武汉市汉南区梨实轩1号,30.3013,114.07676
Core,华中科技大学同济医学院附属协和医院（西院）,湖北省武汉市蔡甸区神龙大道58号,30.492572,114.173958
Core,武汉市第四医院(西院区),湖北省武汉市硚口区解放大道与古田三路路口,30.59275,114.204566
Core,黄陂区人民医院盘龙院区,湖北省武汉市黄陂区盘龙大道42号,30.716671,114.260486
Core,武汉市中医医院（汉阳院区）,湖北省武汉市汉阳区凤凰湖环路,30.51957,114.21434
Core,武汉市肺科医院,湖北省武汉市硚口区宝丰路28号,30.581195,114.253381
Core,武汉市汉阳医院,湖北省武汉市汉阳区墨水湖路53号,30.548535,114.245788
Core,武汉市金银潭医院,湖北省武汉市东西湖区银潭路1号,30.666798,114.285062
Core,武汉市红十字会医院,湖北省武汉市江汉区香港路392号(近香江花园),30.613907,114.273173
Core,湖北省中西医结合医院,湖北省武汉市江汉区菱角湖路11号,30.607233,114.273383
Core,民生耳鼻喉专科医院,湖北省武汉市江岸区黄孝河路107号,30.623204,114.285622
